name,age_base,duration
Petteroceras errans,383.2,0.45
Taouzites taouzensis,383.6,0.45
Synpharciceras clavilobum,384.1,0.45
Lunupharciceras n sp,384.5,0.45
Mzerrebites erraticus,385,0.45
Pharciceras aff amplexum,385.4,0.45
Afromaenioceras n sp,385.9,0.45
Afromaenioceras sulcatostriatum,386.3,0.45
Sellagoniatites waldschmidti,386.8,0.45
Sobolewia n sp,387.2,0.45
Bensaidites koeneni,387.7,0.45
Holzapfeloceras circumflexiferum,388.3,0.56
Agoniatites obliquus,388.8,0.56
Parodiceras magnosellaris,389.4,0.56
Agoniatites expansus,389.9,0.56
Cabrieroceras housei,390.5,0.56
Cabrieroceras crispiforme,391.1,0.56
Subanarcestes macrocephalus,391.6,0.56
Pinacites jugleri,392.2,0.56
Foordites veniens,392.7,0.56
Anarcestes lateseptatus 2,393.3,0.56
Anarcestes lateseptatus 1,394.5,1.22
Sellanarcestes wenkenbachi,395.7,1.22
Latanarcestes noeggerathi,397,1.22
Gyroceratites gracilis,398.2,1.22
Mimosphinctes karltschanzi - Mimagoniatites fecundus,399.4,1.22
Klugites gesinae,400.6,1.22
Anetoceras obliquecostatum,401.9,1.22
Erbenoceras advolvens - Metabactrites formosus,403.1,1.22
Praechebbites debaetsi ,404.3,1.22
